artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Toby Thomas Churchill,Feelings,Death,Toby Thomas Churchill,2011,USX9P1166939,10,426241986,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Dark Dark Dark and Her Choir,Long Long Long,"Minnesota Beatle Project, Vol. 3",Vega Productions,2011,USW2Z1100293,11,426242360,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Matthew Schufman,October INST,Nightingale,GIANT CLIENT PUBLISHING,2015,,12,426242583,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
she's green,Little Birds,Chrysalis,Photo Finish Records,2025,QZ47A2500104,13,426242813,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Boss Mama & the Jebberhooch,Lonesome Rooster Blues,Greetings From the Barnyard Lounge,,2024,usdy42457842,14,426243140,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Coyote,I'm Not the One,When It All Comes Down,Coyote,2010,USX9P0975673,15,426243555,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Ponyfolk,Somewhere To,The Woods Have Shown Us,Hestehus Records,2025,QMAAK2523455,16,426243799,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Grant Glad & the Soo Line Loons,Oldsmobile,Oldsmobile,Quit Your Day Job Records,2024,QZHN62478238,17,426244201,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
POLIÇA,Dreams Go,Dreams Go,Memphis Industries,2025,GBCSG2500045,18,426244498,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
26 BATS!,GMUM EXTENDO,Portal Party,Kremblems,2021,QZK6M2124818,19,426244727,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Bathtub Cig,My Friend,bed,bathtub cig,2021,QZES72183192,20,426244961,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Gild,Shining Star,Satellite Images,Spinout Records,2001,USHM20774274,21,426245386,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Kiss the Tiger,Every Little Piece of Me,Every Little Piece of Me,Kiss the Tiger,2025,QZWDE2558719,22,426245584,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Mara Lovejoy,2121,Liminal,6915590 Records DK,2024,QZK6N2405517,23,426245873,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Douglas Wood,Little Blue Ball (feat. Steve Borgstrom & Kathy Wood),Earthsongs,Wind in the Pines,1989,USHM91436274,24,426246169,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Douglas Wood,Earth Is a Spaceship,Earthsongs,Wind in the Pines,1989,USHM91436278,25,426246093,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
The Penny Peaches,Ready To Die (One Mic Take),Ready To Die (One Mic Take),The Penny Peaches,2025,QT23N2400012,26,426246179,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
